Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
Birkdale Community Centre,34999195,1299 ELLESMERE RD,Scarborough,Ontario,M1P 2Y2,Canada,Community Center and Social Meeting Hall,11733,Sq. Ft.
Banbury Community Centre,34999192,120 BANBURY RD,North York,Ontario,M3B 2L3,Canada,Community Center and Social Meeting Hall,9537,Sq. Ft.
Bennington Heights Park,34999193,76 BENNINGTON HEIGHTS DR,East York,Ontario,M4G 1B1,Canada,Community Center and Social Meeting Hall,1432,Sq. Ft.
West Animal Centre,34999174,146 THE EAST MALL,Etobicoke,Ontario,M8Z 5V5,Canada,Other - Public Services,6588,Sq. Ft.
Albion Road Early Learning & Child Care Centre,34999175,1545 ALBION RD,Etobicoke,Ontario,M9V 1B2,Canada,Pre-school/Daycare,5543,Sq. Ft.
East Animal Centre,34999172,821 PROGRESS AVE,Scarborough,Ontario,M1H 2X4,Canada,Other - Public Services,12831,Sq. Ft.
North Animal Centre,34999173,1300 SHEPPARD AVE W,North York,Ontario,M3K 2A6,Canada,Other - Public Services,13218,Sq. Ft.
TPS Station #54,34999170,4135 BATHURST ST,North York,Ontario,M3H 3P5,Canada,Other - Public Services,5790,Sq. Ft.
TPS Station #9,34999171,866 RICHMOND ST W,Toronto,Ontario,M6J 1C9,Canada,Other - Public Services,1658,Sq. Ft.
TPS Station #46,34999168,105 CEDARVALE AVE,Toronto,Ontario,M4C 4J9,Canada,Other - Public Services,1572,Sq. Ft.
TPS Station #47,34999169,3600 ST CLAIR AVE E,Scarborough,Ontario,M1K 1M2,Canada,Other - Public Services,1787,Sq. Ft.
Mount Dennis Early Learning & Child Care Centre,34999182,1296 WESTON RD,Toronto,Ontario,M6M 4R3,Canada,Pre-school/Daycare,7350,Sq. Ft.
Regent Park Early Learning & Child Care Centre,34999183,40 REGENT ST,Toronto,Ontario,M5A 3N7,Canada,Pre-school/Daycare,15963,Sq. Ft.
Kingston Rd Early Learning & Child Care Centre,34999180,3392 KINGSTON RD,Scarborough,Ontario,M1M 3W5,Canada,Pre-school/Daycare,5500,Sq. Ft.
Malvern Early Learning & Child Care Centre,34999181,1321 NEILSON RD,Scarborough,Ontario,M1B 3C2,Canada,Pre-school/Daycare,6501,Sq. Ft.
Danforth Early Learning & Child Care Centre,34999178,1125 DANFORTH AVE,Toronto,Ontario,M4J 1M5,Canada,Pre-school/Daycare,6351,Sq. Ft.
Jesse Ketchum Early Learning & Child Care Centre,34999179,7 BERRYMAN ST,Toronto,Ontario,M5R 1M7,Canada,Pre-school/Daycare,11550,Sq. Ft.
Ancaster Early Learning & Child Care Centre,34999176,45 ANCASTER RD,North York,Ontario,M3K 1S7,Canada,Pre-school/Daycare,7018,Sq. Ft.
City Kids Early Learning & Child Care Centre,34999177,34 BATHURST ST,Toronto,Ontario,M5V 3W3,Canada,Pre-school/Daycare,8460,Sq. Ft.
High Park Nature Centre,34999222,438 Parkside Dr.,Toronto,Ontario,M6P 2S3,Canada,Community Center and Social Meeting Hall,2465,Sq. Ft.
High Park Training Centre,34999223,142 Colborne Lodge Dr.,Toronto,Ontario,M6R 2Z3,Canada,Community Center and Social Meeting Hall,2874,Sq. Ft.
Harwood Hall,34999220,85 CAYUGA AVE,Toronto,Ontario,M6N 2G4,Canada,Community Center and Social Meeting Hall,4306,Sq. Ft.
High Park Forest School,34999221,1873 BLOOR ST W,Toronto,Ontario,M6P 3K7,Canada,Community Center and Social Meeting Hall,9181,Sq. Ft.
Forest Hill Community Centre,34999218,700 EGLINTON AVE W,Toronto,Ontario,M5N 1B9,Canada,Community Center and Social Meeting Hall,32841,Sq. Ft.
Franklin Horner Community Centre,34999219,432 HORNER AVE,Etobicoke,Ontario,M8W 2B2,Canada,Community Center and Social Meeting Hall,39500,Sq. Ft.
Falstaff Community Centre,34999216,20 FALSTAFF AVE,North York,Ontario,M6L 2C8,Canada,Community Center and Social Meeting Hall,13853,Sq. Ft.
Flemingdon Community Centre,34999217,150 GRENOBLE DR,North York,Ontario,M3C 1E3,Canada,Community Center and Social Meeting Hall,10000,Sq. Ft.
Lawrence Heights Community Centre,34999230,5 REPLIN RD,North York,Ontario,M6A 2M8,Canada,Community Center and Social Meeting Hall,22152,Sq. Ft.
Malvern Recreation Centre,34999231,30 SEWELLS RD,Scarborough,Ontario,M1B 3G5,Canada,Community Center and Social Meeting Hall,106466,Sq. Ft.
L'Amoreaux Community Recreation Centre,34999228,2000 MCNICOLL AVE,Scarborough,Ontario,M1V 5E9,Canada,Community Center and Social Meeting Hall,25995,Sq. Ft.
Lamp Community Health Centre,34999229,185 FIFTH ST,Etobicoke,Ontario,M8V 2Z5,Canada,Community Center and Social Meeting Hall,26318,Sq. Ft.
Jenner Jean-Marie Community Centre,34999226,48 THORNCLIFFE PARK DR,East York,Ontario,M4H 1J7,Canada,Community Center and Social Meeting Hall,13207,Sq. Ft.
June Rowlands Park,34999227,220 DAVISVILLE AVE,Toronto,Ontario,M4S 1G8,Canada,Community Center and Social Meeting Hall,2777,Sq. Ft.
Horner Avenue Seniors Centre,34999224,320 HORNER AVE,Etobicoke,Ontario,M8W 1Z3,Canada,Community Center and Social Meeting Hall,4252,Sq. Ft.
Islington Seniors Centre,34999225,4968 DUNDAS ST W,Etobicoke,Ontario,M9A 1B7,Canada,Community Center and Social Meeting Hall,9967,Sq. Ft.
Earl Bales Community Centre,34999206,4169 BATHURST ST,North York,Ontario,M3H 3P7,Canada,Community Center and Social Meeting Hall,21657,Sq. Ft.
